language_slug,glottocode,family_top,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent,mean_content_len_test,median_content_len_test,mean_arc_length_test,mean_orig_len_test,mean_content_ratio_test,mean_num_arcs_test,fragmentation_ratio_content_mean,fragmentation_ratio_overall_mean,mean_tree_height_test,height_residual,height_normalized_log,height_normalized_linear,n_train_sent,n_train_tokens_content,n_test_tokens_content,n_deprel_types,n_upos_types,log_n_train_sent,log_n_test_sent,log_n_train_tokens_content,log_n_test_tokens_content,ud_release,conllu_checksum_train,conllu_checksum_test,pretrain_exposure_log2mb,size_mb,chosen_date,exposure_source,complexity_pc1,complexity_pc1_adequate_only,feats_coverage_train,feats_coverage_band,new_complex_pc1,new_overall_marking_rate
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L10,False,0.9773,0.7077,0.8366,0.0,0.875,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L5,False,1.0174,0.65,0.8097,0.0,0.8897,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L6,False,0.9711,0.6776,0.8274,0.0,0.9059,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L7,True,0.9504,0.7178,0.8458,0.0,0.9103,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L8,False,0.9531,0.7252,0.8486,0.0,0.8941,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,depth,L9,False,0.9625,0.722,0.8503,0.0,0.8882,909,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,dist,L10,False,1.1827,0.7545,0.7929,0.6889,0.0,908,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,dist,L5,False,1.2217,0.7104,0.7646,0.6843,0.0,908,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,dist,L6,False,1.1771,0.7483,0.7887,0.7208,0.0,908,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
UD_Arabic-PADT,stan1318,Afro-Asiatic,dist,L7,True,1.1317,0.771,0.8044,0.7294,0.0,908,680,38.48676470588235,32.0,2.613773543188309,41.56470588235294,0.9280723643376928,37.48676470588235,1.847261945635586,1.7871120298974474,8.364705882352942,0.42398808876003,1.5772651368887427,0.2173398035994039,6075,206041,26171,29,15,8.711937268208748,6.522092798170152,12.235830457094265,10.172407206486922,UD_2.x,f5869af352640f88,9ab233e10617cc91,9.578032200672585,764.3195915222168,20181101,wikidump_2018,0.2360732229639849,-0.1038760407759104,0.8327371736693182,Adequate,-0.5411220632086479,0.8293201133144475
