language_slug,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent
UD_English-EWT,depth,L6,false,0.4075,0.7885,0.8331,0.0000,0.8636,1974,2038
UD_English-EWT,depth,L7,true,0.3994,0.7921,0.8480,0.0000,0.8778,1974,2038
UD_English-EWT,depth,L8,false,0.4012,0.7869,0.8459,0.0000,0.8798,1974,2038
UD_English-EWT,depth,L9,false,0.4099,0.8172,0.8374,0.0000,0.8651,1974,2038
UD_English-EWT,dist,L10,false,0.5236,0.7164,0.7512,0.7813,0.0000,1805,1838
UD_English-EWT,dist,L5,false,0.5070,0.7029,0.7443,0.7929,0.0000,1805,1838
UD_English-EWT,dist,L6,false,0.4811,0.7393,0.7689,0.8170,0.0000,1805,1838
UD_English-EWT,dist,L7,true,0.4757,0.7500,0.7805,0.8161,0.0000,1805,1838
UD_English-EWT,dist,L8,false,0.4876,0.7459,0.7780,0.8011,0.0000,1805,1838
UD_English-EWT,dist,L9,false,0.5040,0.7333,0.7651,0.7920,0.0000,1805,1838
UD_Finnish-TDT,depth,L10,false,0.5035,0.8088,0.8166,0.0000,0.8180,1364,1555
UD_Finnish-TDT,depth,L5,false,0.5402,0.6663,0.7647,0.0000,0.7460,1364,1555
UD_Finnish-TDT,depth,L6,false,0.4971,0.7361,0.8063,0.0000,0.8051,1364,1555
UD_Finnish-TDT,depth,L7,true,0.4758,0.7784,0.8335,0.0000,0.8270,1364,1555
UD_Finnish-TDT,depth,L8,false,0.4765,0.7925,0.8289,0.0000,0.8257,1364,1555
UD_Finnish-TDT,depth,L9,false,0.4857,0.8194,0.8227,0.0000,0.8322,1364,1555
UD_Finnish-TDT,dist,L10,false,0.6202,0.6797,0.7399,0.7474,0.0000,1349,1542
UD_Finnish-TDT,dist,L5,false,0.6442,0.6687,0.7063,0.7136,0.0000,1349,1542
UD_Finnish-TDT,dist,L6,false,0.6027,0.7107,0.7407,0.7488,0.0000,1349,1542
UD_Finnish-TDT,dist,L7,true,0.5818,0.7280,0.7639,0.7662,0.0000,1349,1542
UD_Finnish-TDT,dist,L8,false,0.5821,0.7094,0.7681,0.7674,0.0000,1349,1542
UD_Finnish-TDT,dist,L9,false,0.6001,0.6979,0.7557,0.7609,0.0000,1349,1542
UD_French-GSD,depth,L10,false,0.5260,0.8120,0.8639,0.0000,0.8558,1476,416
UD_French-GSD,depth,L5,false,0.5565,0.6569,0.8297,0.0000,0.8101,1476,416
UD_French-GSD,depth,L6,false,0.5057,0.7072,0.8569,0.0000,0.8438,1476,416
UD_French-GSD,depth,L7,true,0.4903,0.7723,0.8781,0.0000,0.8822,1476,416
UD_French-GSD,depth,L8,false,0.5063,0.7343,0.8706,0.0000,0.8726,1476,416
UD_French-GSD,depth,L9,false,0.5138,0.7576,0.8708,0.0000,0.8534,1476,416
UD_French-GSD,dist,L10,false,0.6911,0.7530,0.7920,0.7843,0.0000,1476,416
UD_French-GSD,dist,L5,false,0.6762,0.7119,0.7849,0.8177,0.0000,1476,416
UD_French-GSD,dist,L6,false,0.6366,0.7464,0.8087,0.8296,0.0000,1476,416
UD_French-GSD,dist,L7,true,0.6221,0.7687,0.8202,0.8291,0.0000,1476,416
UD_French-GSD,dist,L8,false,0.6393,0.7630,0.8229,0.8100,0.0000,1476,416
UD_French-GSD,dist,L9,false,0.6606,0.7574,0.8128,0.7927,0.0000,1476,416
UD_German-GSD,depth,L10,false,0.4475,0.8131,0.8380,0.0000,0.8770,799,976
UD_German-GSD,depth,L5,false,0.4598,0.7124,0.8032,0.0000,0.8463,799,976
UD_German-GSD,depth,L6,false,0.4308,0.7975,0.8271,0.0000,0.8648,799,976
UD_German-GSD,depth,L7,true,0.4150,0.8208,0.8441,0.0000,0.8811,799,976
UD_German-GSD,depth,L8,false,0.4209,0.8089,0.8295,0.0000,0.8760,799,976
UD_German-GSD,depth,L9,false,0.4335,0.8009,0.8393,0.0000,0.8689,799,976
UD_German-GSD,dist,L10,false,0.5705,0.7424,0.7704,0.7991,0.0000,799,966
UD_German-GSD,dist,L5,false,0.5577,0.7374,0.7726,0.7892,0.0000,799,966
UD_German-GSD,dist,L6,false,0.5336,0.7590,0.7935,0.8168,0.0000,799,966
UD_German-GSD,dist,L7,true,0.5249,0.7677,0.7985,0.8225,0.0000,799,966
UD_German-GSD,dist,L8,false,0.5366,0.7754,0.7977,0.8184,0.0000,799,966
UD_German-GSD,dist,L9,false,0.5529,0.7595,0.7879,0.8108,0.0000,799,966
UD_Greek-GDT,depth,L10,false,0.7148,0.6287,0.8358,0.0000,0.6974,403,456
UD_Greek-GDT,depth,L5,false,0.7330,0.5705,0.7353,0.0000,0.7018,403,456
UD_Greek-GDT,depth,L6,false,0.6920,0.6055,0.7839,0.0000,0.7215,403,456
UD_Greek-GDT,depth,L7,true,0.6735,0.6303,0.7722,0.0000,0.7281,403,456
UD_Greek-GDT,depth,L8,false,0.6928,0.6372,0.7956,0.0000,0.7281,403,456
UD_Greek-GDT,depth,L9,false,0.6964,0.6283,0.8416,0.0000,0.7215,403,456
UD_Greek-GDT,dist,L10,false,0.8205,0.6943,0.7874,0.7100,0.0000,394,448
UD_Greek-GDT,dist,L5,false,0.8440,0.6699,0.7666,0.6866,0.0000,394,448
UD_Greek-GDT,dist,L6,false,0.7861,0.7213,0.7994,0.7400,0.0000,394,448
UD_Greek-GDT,dist,L7,true,0.7557,0.7257,0.8154,0.7515,0.0000,394,448
UD_Greek-GDT,dist,L8,false,0.7574,0.7432,0.8145,0.7415,0.0000,394,448
UD_Greek-GDT,dist,L9,false,0.7874,0.7134,0.8054,0.7351,0.0000,394,448
UD_Hebrew-HTB,depth,L10,false,0.6599,0.6246,0.8248,0.0000,0.7373,484,491
UD_Hebrew-HTB,depth,L5,false,0.7176,0.5073,0.7695,0.0000,0.6701,484,491
UD_Hebrew-HTB,depth,L6,false,0.6586,0.5671,0.8198,0.0000,0.7067,484,491
UD_Hebrew-HTB,depth,L7,true,0.6305,0.5976,0.8335,0.0000,0.7271,484,491
UD_Hebrew-HTB,depth,L8,false,0.6341,0.6081,0.8376,0.0000,0.7495,484,491
UD_Hebrew-HTB,depth,L9,false,0.6483,0.6250,0.8334,0.0000,0.7373,484,491
UD_Hebrew-HTB,dist,L10,false,0.8197,0.7033,0.7840,0.7503,0.0000,483,490
UD_Hebrew-HTB,dist,L5,false,0.8384,0.6508,0.7711,0.7317,0.0000,483,490
UD_Hebrew-HTB,dist,L6,false,0.7947,0.6878,0.7969,0.7661,0.0000,483,490
UD_Hebrew-HTB,dist,L7,true,0.7701,0.7190,0.8104,0.7785,0.0000,483,490
UD_Hebrew-HTB,dist,L8,false,0.7684,0.7508,0.8121,0.7712,0.0000,483,490
UD_Hebrew-HTB,dist,L9,false,0.7953,0.7184,0.7969,0.7637,0.0000,483,490
UD_Hindi-HDTB,depth,L10,false,0.4636,0.8017,0.8313,0.0000,0.9032,1659,1684
UD_Hindi-HDTB,depth,L5,false,0.5027,0.6489,0.7953,0.0000,0.8842,1659,1684
UD_Hindi-HDTB,depth,L6,false,0.4567,0.7802,0.8225,0.0000,0.9014,1659,1684
UD_Hindi-HDTB,depth,L7,true,0.4377,0.7238,0.8572,0.0000,0.9175,1659,1684
UD_Hindi-HDTB,depth,L8,false,0.4415,0.7364,0.8503,0.0000,0.9091,1659,1684
UD_Hindi-HDTB,depth,L9,false,0.4529,0.7623,0.8475,0.0000,0.9020,1659,1684
UD_Hindi-HDTB,dist,L10,false,0.6641,0.7540,0.7623,0.7671,0.0000,1659,1684
UD_Hindi-HDTB,dist,L5,false,0.6920,0.6924,0.7450,0.7445,0.0000,1659,1684
UD_Hindi-HDTB,dist,L6,false,0.6376,0.7356,0.7781,0.8006,0.0000,1659,1684
UD_Hindi-HDTB,dist,L7,true,0.6144,0.7789,0.7853,0.8130,0.0000,1659,1684
UD_Hindi-HDTB,dist,L8,false,0.6212,0.7736,0.7899,0.8041,0.0000,1659,1684
UD_Hindi-HDTB,dist,L9,false,0.6391,0.7621,0.7693,0.7885,0.0000,1659,1684
UD_Hungarian-Szeged,depth,L10,false,0.7472,0.5862,0.7623,0.0000,0.5412,441,449
UD_Hungarian-Szeged,depth,L5,false,0.7737,0.5132,0.6550,0.0000,0.5791,441,449
UD_Hungarian-Szeged,depth,L6,false,0.7305,0.5544,0.7349,0.0000,0.5969,441,449
UD_Hungarian-Szeged,depth,L7,true,0.7111,0.5822,0.7621,0.0000,0.6013,441,449
UD_Hungarian-Szeged,depth,L8,false,0.7297,0.5730,0.7678,0.0000,0.5457,441,449
UD_Hungarian-Szeged,depth,L9,false,0.7535,0.5636,0.7583,0.0000,0.5056,441,449
UD_Hungarian-Szeged,dist,L10,false,0.9162,0.6415,0.7127,0.6434,0.0000,441,446
UD_Hungarian-Szeged,dist,L5,false,0.9330,0.5957,0.6944,0.6042,0.0000,441,446
UD_Hungarian-Szeged,dist,L6,false,0.8841,0.6266,0.7284,0.6500,0.0000,441,446
UD_Hungarian-Szeged,dist,L7,true,0.8524,0.6448,0.7415,0.6745,0.0000,441,446
UD_Hungarian-Szeged,dist,L8,false,0.8455,0.6729,0.7510,0.6823,0.0000,441,446
UD_Hungarian-Szeged,dist,L9,false,0.8972,0.6253,0.7261,0.6519,0.0000,441,446
UD_Indonesian-GSD,depth,L10,false,0.6200,0.6663,0.8210,0.0000,0.6912,559,557
UD_Indonesian-GSD,depth,L5,false,0.6255,0.6099,0.8282,0.0000,0.7433,559,557
UD_Indonesian-GSD,depth,L6,false,0.5963,0.6317,0.8437,0.0000,0.7612,559,557
UD_Indonesian-GSD,depth,L7,true,0.5820,0.6447,0.8475,0.0000,0.7630,559,557
UD_Indonesian-GSD,depth,L8,false,0.5919,0.6631,0.8331,0.0000,0.7684,559,557
UD_Indonesian-GSD,depth,L9,false,0.6079,0.6647,0.8279,0.0000,0.7235,559,557
UD_Indonesian-GSD,dist,L10,false,0.7879,0.7064,0.7614,0.7306,0.0000,558,557
UD_Indonesian-GSD,dist,L5,false,0.7667,0.6741,0.7640,0.7426,0.0000,558,557
UD_Indonesian-GSD,dist,L6,false,0.7309,0.7159,0.7857,0.7782,0.0000,558,557
UD_Indonesian-GSD,dist,L7,true,0.7228,0.7184,0.7922,0.7685,0.0000,558,557
UD_Indonesian-GSD,dist,L8,false,0.7388,0.7159,0.7863,0.7584,0.0000,558,557
UD_Indonesian-GSD,dist,L9,false,0.7604,0.7101,0.7778,0.7457,0.0000,558,557
UD_Japanese-GSD,depth,L10,false,0.5516,0.8323,0.8258,0.0000,0.8029,507,543
UD_Japanese-GSD,depth,L5,false,0.5528,0.6417,0.8296,0.0000,0.8140,507,543
UD_Japanese-GSD,depth,L6,false,0.5229,0.6827,0.8551,0.0000,0.8398,507,543
UD_Japanese-GSD,depth,L7,true,0.5168,0.7534,0.8451,0.0000,0.8379,507,543
UD_Japanese-GSD,depth,L8,false,0.5264,0.7743,0.8390,0.0000,0.8527,507,543
UD_Japanese-GSD,depth,L9,false,0.5410,0.8119,0.8330,0.0000,0.8140,507,543
UD_Japanese-GSD,dist,L10,false,0.7585,0.7174,0.7389,0.7005,0.0000,506,542
UD_Japanese-GSD,dist,L5,false,0.7391,0.6930,0.7431,0.7206,0.0000,506,542
UD_Japanese-GSD,dist,L6,false,0.7058,0.6851,0.7631,0.7517,0.0000,506,542
UD_Japanese-GSD,dist,L7,true,0.6936,0.7418,0.7754,0.7579,0.0000,506,542
UD_Japanese-GSD,dist,L8,false,0.7053,0.7418,0.7679,0.7407,0.0000,506,542
UD_Japanese-GSD,dist,L9,false,0.7316,0.7188,0.7556,0.7167,0.0000,506,542
UD_Korean-GSD,depth,L10,false,0.6209,0.6250,0.7572,0.0000,0.7765,950,989
UD_Korean-GSD,depth,L5,false,0.6387,0.5484,0.7263,0.0000,0.8028,950,989
UD_Korean-GSD,depth,L6,false,0.6053,0.6023,0.7696,0.0000,0.8190,950,989
UD_Korean-GSD,depth,L7,true,0.5875,0.6598,0.7850,0.0000,0.8129,950,989
UD_Korean-GSD,depth,L8,false,0.5969,0.6764,0.7726,0.0000,0.7958,950,989
UD_Korean-GSD,depth,L9,false,0.6063,0.6337,0.7728,0.0000,0.7988,950,989
UD_Korean-GSD,dist,L10,false,0.6874,0.6477,0.6930,0.6625,0.0000,950,989
UD_Korean-GSD,dist,L5,false,0.7105,0.6286,0.6705,0.6383,0.0000,950,989
UD_Korean-GSD,dist,L6,false,0.6737,0.6440,0.7043,0.6745,0.0000,950,989
UD_Korean-GSD,dist,L7,true,0.6527,0.6955,0.7245,0.6877,0.0000,950,989
UD_Korean-GSD,dist,L8,false,0.6578,0.6935,0.7217,0.6848,0.0000,950,989
UD_Korean-GSD,dist,L9,false,0.6699,0.6544,0.7081,0.6733,0.0000,950,989
UD_Persian-Seraji,depth,L10,false,0.7050,0.6863,0.8171,0.0000,0.6867,599,600
